,downloads,run_time,views,is_good
107,2716.0,109.0,14757.0,0
108,763.0,88.0,7573.0,0
109,2716.0,109.0,14739.0,0
110,4217.0,89.0,20093.0,0
111,2696.0,93.0,14282.0,0
112,2617.0,92.0,16673.0,0
113,1435.0,87.0,10134.0,0
114,2084.0,60.0,14787.0,0
115,49506.0,155.0,157765.0,0
116,972.0,85.0,11669.0,0
117,4528.0,84.0,24518.0,0
118,11695.0,150.0,40369.0,0
119,1873.0,86.0,17317.0,0
120,17840.0,119.0,77251.0,0
121,760.0,88.0,7437.0,0
122,1993.0,85.0,15314.0,0
123,2718.0,109.0,14873.0,0
124,943.0,103.0,7118.0,0
125,374.0,105.0,3507.0,0
126,443.0,105.0,4321.0,0
127,764.0,88.0,7639.0,0
128,2142.0,89.0,16595.0,0
129,765.0,88.0,7695.0,0
130,761.0,88.0,7467.0,0
131,766.0,88.0,7875.0,0
132,1379.0,99.0,11027.0,0
133,6903.0,101.0,32265.0,0
134,2716.0,109.0,14772.0,0
135,2712.0,109.0,14648.0,0
136,765.0,88.0,7694.0,0
137,1274.0,88.0,17439.0,0
138,4412.0,65.0,12273.0,0
139,15259.0,136.0,49068.0,0
140,10414.0,95.0,46084.0,0
141,2925.0,109.0,20222.0,0
142,757.0,105.0,7662.0,0
143,2980.0,100.0,13619.0,0
144,284.0,110.0,3155.0,0
145,4077.0,94.0,22702.0,0
146,11863.0,108.0,50129.0,0
147,3050.0,108.0,21882.0,0
148,4654.0,108.0,24713.0,0
149,8054.0,156.0,22360.0,0
150,1953.0,99.0,11334.0,0
151,764.0,88.0,7665.0,0
152,284.0,110.0,3204.0,0
153,13106.0,101.0,42147.0,0
154,3715.0,80.0,22083.0,0
155,1793.0,88.0,15007.0,0
156,2544.0,92.0,18418.0,0
157,381.0,105.0,3704.0,0
158,1052.0,87.0,12463.0,0
159,13092.0,138.0,32756.0,0
160,2555.0,93.0,10894.0,0
161,2451.0,96.0,18178.0,0
162,3490.0,103.0,23373.0,0
163,965.0,82.0,17037.0,0
164,831.0,80.0,7436.0,0
